,Index,Variant,Location,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
97,153,Estimates,Latvia,428,2.0,1.95,1.8753,1.84,2.0,1.8894,2.0293,2.16,1.6322,1.1722,1.2856,1.4926,1.4972
98,125,Estimates,Lebanon,422,5.74,5.72,5.689,5.2312,4.6654,4.2337,3.7477,3.2258,2.8012,2.434,2.0101,1.5754,1.7168
99,55,Estimates,Lesotho,426,5.84,5.861,5.811,5.8,5.8,5.686,5.459,5.135,4.701,4.373,3.793,3.373,3.26
100,68,Estimates,Liberia,430,6.2714,6.3502,6.4695,6.5923,6.7989,6.9317,6.9555,6.7229,6.274,6.0481,5.6793,5.2287,4.8323
101,48,Estimates,Libya,434,7.1434,7.2,7.3,7.992,8.1,7.668,6.6806,5.712,4.215,3.2,2.64,2.43,2.4
102,154,Estimates,Lithuania,440,2.84,2.66,2.4272,2.3028,2.303,2.1042,2.0385,2.0554,1.816,1.4716,1.2782,1.4174,1.594
103,176,Estimates,Luxembourg,442,1.98,2.23,2.395,2.192,1.722,1.486,1.465,1.469,1.663,1.7213,1.654,1.6206,1.5462
104,21,Estimates,Madagascar,450,7.3,7.3,7.3,7.3,7.2,6.95,6.5,6.25,6.1,5.801,5.278,4.83,4.4
105,22,Estimates,Malawi,454,6.85,6.9,7.0037,7.2038,7.4019,7.6,7.6,7.25,6.6,6.3,6.0,5.725,4.875
106,108,Estimates,Malaysia,458,6.3487,6.3791,6.365,5.3817,4.715,4.2024,3.9682,3.6666,3.4362,3.1251,2.4545,2.216,2.1059
107,99,Estimates,Maldives,462,6.0299,6.8135,7.1197,7.2226,7.1698,6.8547,7.2575,6.6645,5.1593,3.5197,2.5733,2.2573,2.2228
108,69,Estimates,Mali,466,6.95,6.95,7.0,7.1,7.15,7.15,7.15,7.15,7.15,6.95,6.85,6.7,6.35
109,164,Estimates,Malta,470,4.136,3.8,3.1495,2.1161,2.0058,2.1176,1.944,2.0292,1.9927,1.8832,1.4699,1.3856,1.4143
110,192,Estimates,Martinique,474,5.71,5.71,5.45,5.0,4.08,2.65,2.14,2.14,1.962,1.9,1.924,2.057,1.9525
111,70,Estimates,Mauritania,478,6.3378,6.7053,6.7863,6.7896,6.7498,6.5726,6.3386,6.1491,5.9134,5.6073,5.309,5.0734,4.8816
112,23,Estimates,Mauritius,480,5.895,5.895,6.195,4.61,3.466,3.105,2.3015,2.3118,2.2465,2.0332,1.9335,1.698,1.4859
113,24,Estimates,Mayotte,175,7.91,7.91,7.91,7.91,7.91,7.91,7.3504,6.727,5.25,5.08,4.8,4.6,4.1
114,204,Estimates,Mexico,484,6.75,6.78,6.75,6.75,6.71,5.4,4.37,3.75,3.23,2.85,2.61,2.4,2.29
115,237,Estimates,Micronesia (Fed. States of),583,7.2,7.0,6.9,6.9,6.9,6.4,6.0,5.2,4.7932,4.5275,4.05,3.622,3.3255
116,84,Estimates,Mongolia,496,5.6,6.3,7.5,7.5,7.5,6.65,5.75,4.8407,3.2726,2.3957,2.0759,2.3731,2.8325
117,165,Estimates,Montenegro,499,4.3464,3.795,3.4168,2.89,2.6179,2.306,2.212,2.106,2.045,1.91,1.8536,1.82,1.7103
118,49,Estimates,Morocco,504,6.608,6.896,7.1,6.85,6.4,5.9,5.4,4.447,3.701,2.968,2.68,2.55,2.6
119,25,Estimates,Mozambique,508,7.0,7.0,6.9,6.85,6.8,6.55,6.4,6.3,6.1,5.85,5.8,5.65,5.45
120,109,Estimates,Myanmar,104,6.0,6.0,6.1,6.1,5.738,5.15,4.65,3.8,3.2,2.95,2.87,2.55,2.3
121,56,Estimates,Namibia,516,6.0,6.1,6.2,6.3,6.6,6.6,6.2,5.547,4.912,4.292,3.808,3.6,3.6
122,100,Estimates,Nepal,524,5.9588,5.9588,5.9588,5.9588,5.8662,5.7952,5.6202,5.3293,4.9701,4.4066,3.6361,2.9634,2.3178
123,177,Estimates,Netherlands,528,3.0524,3.0974,3.1657,2.7949,2.1001,1.5982,1.5149,1.5546,1.5923,1.5991,1.7396,1.7461,1.732
124,230,Estimates,New Caledonia,540,5.2231,5.2231,5.2231,5.212,5.2028,3.9055,3.3399,3.025,2.9366,2.5763,2.32,2.28,2.24
125,227,Estimates,New Zealand,554,3.688,4.07,3.85,3.348,2.843,2.178,1.9727,2.0311,2.067,1.9525,1.949,2.1418,2.0363
126,205,Estimates,Nicaragua,558,7.2,7.5001,7.1,6.9501,6.79,6.35,5.85,5.0,4.2,3.4,2.8445,2.5595,2.3183
127,71,Estimates,Niger,562,7.3,7.4,7.5,7.55,7.6,7.75,7.9,7.8,7.75,7.7,7.65,7.55,7.4
128,72,Estimates,Nigeria,566,6.3544,6.3544,6.3544,6.3544,6.6094,6.7629,6.7559,6.6035,6.3697,6.1703,6.0512,5.91,5.74
129,155,Estimates,Norway,578,2.602,2.837,2.898,2.8,2.35,1.81,1.687,1.8,1.886,1.862,1.8061,1.9235,1.8191
130,126,Estimates,Oman,512,7.252,7.252,7.252,7.3091,7.4077,8.1,8.3166,7.8479,6.2743,4.464,3.2,2.9,2.9
131,101,Estimates,Pakistan,586,6.6,6.6,6.6,6.6,6.6,6.6,6.444,6.2967,5.6691,4.9945,4.23,3.98,3.72
132,206,Estimates,Panama,591,5.7641,5.8725,5.79,5.4142,4.8822,4.1869,3.6272,3.2383,2.92,2.8134,2.6842,2.6322,2.6002
133,231,Estimates,Papua New Guinea,598,6.238,6.259,6.278,6.214,6.087,5.871,5.474,4.966,4.703,4.637,4.385,4.133,3.8376
134,216,Estimates,Paraguay,600,6.5,6.5,6.45,6.15,5.3505,5.2,5.12,4.77,4.3095,3.88,3.2397,2.8922,2.5988
135,217,Estimates,Peru,604,6.95,6.95,6.95,6.7,6.0,5.4,4.65,4.1,3.57,3.1,2.8,2.5995,2.5
136,110,Estimates,Philippines,608,7.4201,7.2692,6.9807,6.5392,5.9769,5.4623,4.9215,4.5271,4.1385,3.9,3.7,3.3,3.05
137,140,Estimates,Poland,616,3.6302,3.4698,2.72,2.3348,2.2349,2.2285,2.3135,2.1624,1.9479,1.5147,1.2587,1.374,1.3338
138,166,Estimates,Portugal,620,3.0988,3.1216,3.1873,3.1187,2.8332,2.5486,2.0084,1.6205,1.48,1.455,1.4513,1.3718,1.2831
139,193,Estimates,Puerto Rico,630,4.97,4.82,4.37,3.41,2.99,2.76,2.46,2.26,2.18,1.985,1.85,1.72,1.52
140,127,Estimates,Qatar,634,6.97,6.97,6.97,6.97,6.75,6.1,5.45,4.4,3.74,3.46,2.95,2.23,2.0
141,85,Estimates,Republic of Korea,410,5.653,6.332,5.6,4.65,4.002,2.919,2.234,1.567,1.6764,1.5005,1.2137,1.173,1.2331
142,141,Estimates,Republic of Moldova,498,3.5,3.44,3.15,2.66,2.56,2.44,2.55,2.64,2.111,1.7,1.2378,1.2704,1.2693
143,142,Estimates,Romania,642,3.0596,2.735,2.1044,2.8678,2.6541,2.5457,2.2599,2.2244,1.5063,1.338,1.32,1.448,1.484
144,143,Estimates,Russian Federation,643,2.85,2.82,2.55,2.02,2.03,1.94,2.04,2.121,1.545,1.247,1.298,1.4389,1.6977
145,27,Estimates,Rwanda,646,8.0,8.15,8.2,8.2,8.284,8.432,8.375,7.8,6.554,5.9,5.4,4.85,4.2
146,194,Estimates,Saint Lucia,662,6.0,6.938,6.794,6.479,5.691,5.2,4.2,3.65,3.15,2.6,1.85,1.6,1.5073
147,195,Estimates,Saint Vincent and the Grenadines,670,7.33,7.33,7.02,6.41,5.54,4.42,3.64,3.1,2.85,2.55,2.237,2.132,2.0084
148,240,Estimates,Samoa,882,7.6297,7.6297,7.6291,7.3526,6.9977,6.4889,5.9103,5.3533,4.9223,4.6203,4.4359,4.4675,4.1643
149,44,Estimates,Sao Tome and Principe,678,6.2,6.2,6.3,6.4,6.5155,6.495,6.2372,5.9594,5.6823,5.4106,5.1486,4.9,4.6677
150,128,Estimates,Saudi Arabia,682,7.175,7.175,7.257,7.257,7.298,7.278,7.015,6.217,5.55,4.4,3.65,3.225,2.725
151,73,Estimates,Senegal,686,6.8,6.9,7.1,7.25,7.3,7.275,7.275,6.775,6.275,5.725,5.275,5.1,5.0
152,167,Estimates,Serbia,688,3.22,2.57,2.51,2.43,2.36,2.37,2.32,2.23,1.96,1.8312,1.7084,1.5835,1.5915
153,28,Estimates,Seychelles,690,5.0,5.0,5.59,5.92,5.3819,4.2696,3.5077,2.9377,2.5734,2.178,2.2,2.3,2.38
154,74,Estimates,Sierra Leone,694,6.0297,6.0297,6.25,6.4135,6.565,6.6458,6.7219,6.7219,6.6858,6.4779,6.1074,5.5651,4.8418
155,111,Estimates,Singapore,702,6.61,6.335,5.12,3.645,2.815,1.84,1.694,1.6974,1.7307,1.5705,1.3481,1.2571,1.233
156,144,Estimates,Slovakia,703,3.5022,3.2427,2.911,2.541,2.5067,2.464,2.271,2.1537,1.8667,1.401,1.2205,1.317,1.39
157,168,Estimates,Slovenia,705,2.68,2.3833,2.3354,2.265,2.1999,2.1632,1.928,1.6517,1.3335,1.2483,1.2114,1.435,1.575
158,232,Estimates,Solomon Islands,90,6.4,6.4,6.4,6.539,7.236,7.041,6.431,6.125,5.532,4.905,4.6,4.4,4.0577
159,29,Estimates,Somalia,706,7.25,7.25,7.25,7.25,7.1,7.0,7.071,7.258,7.531,7.698,7.465,7.102,6.6098
160,57,Estimates,South Africa,710,6.05,6.05,6.0,5.8,5.5,5.05,4.6,4.0,3.34,2.95,2.75,2.625,2.55
161,30,Estimates,South Sudan,728,6.65,6.7,6.75,6.85,6.9,6.92,6.783,6.83,6.65,6.42,6.0,5.6,5.15
162,169,Estimates,Spain,724,2.53,2.7,2.81,2.84,2.85,2.55,1.88,1.46,1.28,1.19,1.29,1.3944,1.3291
163,102,Estimates,Sri Lanka,144,5.8,5.8,5.2,4.7,4.0,3.6064,3.1894,2.644,2.3839,2.2431,2.262,2.279,2.1113
164,129,Estimates,State of Palestine,275,7.38,7.38,7.995,7.995,7.694,7.504,7.0491,6.7573,6.6031,5.8052,5.0155,4.602,4.25
165,50,Estimates,Sudan,729,6.65,6.65,6.75,6.861,6.9,6.92,6.63,6.3,6.0,5.65,5.3,5.0,4.75
166,218,Estimates,Suriname,740,6.56,6.56,6.56,5.945,5.289,4.203,3.7,3.364,3.1891,2.9633,2.7657,2.5891,2.4598
167,58,Estimates,Swaziland,748,6.7,6.7,6.75,6.849,6.866,6.733,6.5,6.0,5.2,4.45,4.0,3.75,3.3
168,156,Estimates,Sweden,752,2.2372,2.247,2.3104,2.1701,1.9059,1.6646,1.6435,1.9087,2.006,1.5589,1.6703,1.8905,1.902
169,178,Estimates,Switzerland,756,2.3101,2.3912,2.5972,2.3551,1.8714,1.5388,1.539,1.547,1.539,1.484,1.4079,1.4692,1.5258
170,130,Estimates,Syrian Arab Republic,760,7.227,7.3755,7.5385,7.5598,7.5426,7.3164,6.767,5.873,4.8041,4.3,3.8,3.35,3.1
171,90,Estimates,Tajikistan,762,5.4,6.199,6.8,7.0,6.834,5.897,5.6,5.5,4.877,4.29,3.6,3.5,3.5
172,112,Estimates,Thailand,764,6.1378,6.1378,6.1297,5.985,5.052,3.915,2.945,2.3,1.9921,1.7668,1.6026,1.5563,1.5346
173,170,Estimates,TFYR Macedonia,807,5.0572,4.1429,3.6509,3.4437,2.8593,2.5402,2.454,2.2729,2.1215,1.8262,1.6375,1.46,1.5033
174,113,Estimates,Timor-Leste,626,6.441,6.353,6.371,6.156,5.535,4.305,5.39,5.209,5.685,7.005,6.955,6.53,5.9124
175,75,Estimates,Togo,768,6.3344,6.4217,6.6518,6.937,7.1986,7.2768,7.0567,6.6222,6.0195,5.5448,5.3064,5.0358,4.6895
176,241,Estimates,Tonga,776,7.3,7.3,7.3,6.5,5.5,5.5,5.5,4.7363,4.615,4.2912,4.2278,4.0342,3.7886
177,196,Estimates,Trinidad and Tobago,780,5.3,5.3,5.04,3.81,3.45,3.24,3.28,2.75,2.18,1.82,1.75,1.8,1.7959
178,51,Estimates,Tunisia,788,6.65,6.85,6.99,6.92,6.385,5.65,4.82,4.0019,2.98,2.3435,2.04,2.0239,2.2521
179,131,Estimates,Turkey,792,6.6859,6.4959,6.2022,5.7996,5.3931,4.6948,4.1106,3.3874,2.8982,2.6477,2.3735,2.2018,2.121
180,91,Estimates,Turkmenistan,795,5.3,6.2,6.8,6.56,6.187,5.6,4.79,4.55,4.03,3.03,2.755,2.65,3.0
181,31,Estimates,Uganda,800,6.9,6.95,7.05,7.12,7.1,7.1,7.1,7.1,7.063,6.946,6.745,6.38,5.9126
182,145,Estimates,Ukraine,804,2.81,2.7,2.1346,2.0204,2.0789,1.9798,2.004,1.95,1.6208,1.2404,1.1455,1.3828,1.4889
183,132,Estimates,United Arab Emirates,784,6.97,6.97,6.87,6.77,6.45,5.75,5.3,4.9,3.925,2.97,2.4,1.97,1.82
184,157,Estimates,United Kingdom,826,2.18,2.49,2.81,2.57,2.01,1.73,1.775,1.835,1.775,1.735,1.655,1.8738,1.8781
185,32,Estimates,United Republic of Tanzania,834,6.74,6.801,6.8,6.79,6.75,6.73,6.55,6.36,6.05,5.75,5.66,5.579,5.2395
186,197,Estimates,United States Virgin Islands,850,5.2509,5.4926,5.6723,5.5225,4.6577,3.4884,2.9711,3.0216,2.7945,2.1936,2.1397,2.4359,2.3
187,223,Estimates,United States of America,840,3.311,3.5821,3.2336,2.5434,2.0294,1.7718,1.8044,1.9146,2.0297,1.9965,2.042,2.05,1.8765
188,219,Estimates,Uruguay,858,2.73,2.83,2.9,2.8,3.0,2.89,2.57,2.53,2.49,2.3,2.2,2.12,2.04
189,92,Estimates,Uzbekistan,860,5.3,5.9,6.5,6.4,6.1561,5.4649,4.8,4.4001,3.95,3.1,2.5126,2.49,2.38
190,233,Estimates,Vanuatu,548,7.6,7.35,7.0,6.46,6.11,5.75,5.4,5.04,4.83,4.59,4.11,3.63,3.4113
191,220,Estimates,Venezuela (Bolivarian Republic of),862,6.4585,6.4585,6.657,5.9045,4.941,4.4685,3.957,3.6485,3.25,2.9415,2.723,2.547,2.4047
192,114,Estimates,Viet Nam,704,5.3986,6.1636,6.4182,6.4649,6.3285,5.4993,4.6002,3.8497,3.2272,2.2493,1.9206,1.9279,1.9624
193,52,Estimates,Western Sahara,732,6.342,6.424,6.534,6.6,6.5732,6.234,5.3321,4.6,4.0,3.4,2.85,2.55,2.6
194,133,Estimates,Yemen,887,7.35,7.4,7.6,7.8,7.9,8.6,8.8,8.8,8.2,6.8,5.9,5.0,4.4
195,33,Estimates,Zambia,894,6.7,6.95,7.25,7.3,7.4,7.25,6.9,6.6,6.3,6.1,5.95,5.6,5.2
196,34,Estimates,Zimbabwe,716,6.8,7.0,7.3,7.4,7.4,7.3,6.74,5.656,4.773,4.2,4.0,4.0,4.0
